
> ui-design-agent-kit@0.1.0 contrast
> node scripts/contrast-check.mjs

✓ 16.46:1  亮·正文/卡片
✓ 15.73:1  亮·正文/页面底
✓ 7.58:1  亮·次要文字/卡片
✓ 7.24:1  亮·次要文字/页面底（计数行）
✓ 5.93:1  亮·演示横幅
✓ 5.09:1  亮·状态胶囊·有库存
✓ 5.93:1  亮·状态胶囊·低库存
✓ 5.76:1  亮·状态胶囊·缺货
✓ 8.72:1  亮·主按钮/分段选中·白字
✓ 15.73:1  亮·Toast 文字
✓ 14.78:1  暗·正文/卡片
✓ 15.88:1  暗·正文/页面底
✓ 6.80:1  暗·次要文字/卡片
✓ 7.30:1  暗·次要文字/页面底（计数行）
✓ 8.18:1  暗·演示横幅
✓ 8.77:1  暗·状态胶囊·有库存
✓ 7.61:1  暗·状态胶囊·低库存
✓ 5.52:1  暗·状态胶囊·缺货
✓ 8.72:1  暗·主按钮/分段选中·白字
✓ 15.88:1  暗·Toast 文字

20/20 对达到 4.5:1（小字号标准）
